Year,Donor Name,CBPF Name,Paid Amount,Pledged Amount,Total Contributions,Local Curency,Exchange Rate,Paid Amount (Local Currency),Pledged Amount (Local Currency),Total Contributions (Local Currency)
2008,"Ireland","Ethiopia",4352602.22,0,4352602.22,"EUR","0.750000",3285000,0,3285000
2008,"Italy","Ethiopia",857232.7,0,857232.7,"EUR","0.640000",545200,0,545200
2008,"Netherlands","Ethiopia",25675584,0,25675584,"USD","1.000000",25675584,0,25675584
2008,"Norway","Ethiopia",2644227.99,0,2644227.99,"NOK","5.670000",14999632.4,0,14999632.4
2008,"Norway","Haiti",367060.55,0,367060.55,"NOK","5.450000",2000112.94,0,2000112.94
2008,"Norway","oPt",713840.03,0,713840.03,"NOK","7.000000",4999735.57,0,4999735.57
2008,"Spain","Ethiopia",1293661.06,0,1293661.06,"EUR","0.770000",1000000,0,1000000
2008,"Spain","oPt",918635.17,0,918635.17,"EUR","0.760000",700000,0,700000
2008,"Sweden","Ethiopia",4090487.37,0,4090487.37,"SEK","7.330000",29999631.86,0,29999631.86
2008,"Sweden","Haiti",2418250.06,0,2418250.06,"SEK","7.440000",17999566.43,0,17999566.43
2008,"Sweden","oPt",893735.02,0,893735.02,"SEK","7.830000",6999732.68,0,6999732.68
2008,"Switzerland","Ethiopia",689852.77,0,689852.77,"CHF","1.160000",800000,0,800000
2008,"United Kingdom","Ethiopia",28489852.18,0,28489852.18,"GBP","0.530000",15000000,0,15000000
2008,"United Kingdom","Haiti",921658.99,0,921658.99,"GBP","0.650000",600000,0,600000
2008,"United Kingdom","Myanmar",1086956.52,0,1086956.52,"GBP","0.510000",550000,0,550000
